年,月,地域区分,データ区分,地域コード,地域名称,人数
2021,6,都道府県,観光来訪者数,21,岐阜県,1205693
2021,6,都道府県,観光来訪者数,22,静岡県,2538360
2021,6,都道府県,観光来訪者数,23,愛知県,2126612
2021,6,都道府県,観光来訪者数,24,三重県,918353
2021,6,都道府県,観光来訪者数,25,滋賀県,816497
2021,6,都道府県,観光来訪者数,26,京都府,1283064
2021,6,都道府県,観光来訪者数,27,大阪府,1908277
2021,6,都道府県,観光来訪者数,28,兵庫県,2524038
2021,6,都道府県,観光来訪者数,29,奈良県,728114
2021,6,都道府県,観光来訪者数,30,和歌山県,452411
2021,6,都道府県,観光来訪者数,31,鳥取県,301155
2021,6,都道府県,観光来訪者数,32,島根県,405796
2021,6,都道府県,観光来訪者数,33,岡山県,698857
2021,6,都道府県,観光来訪者数,34,広島県,914874
2021,6,都道府県,観光来訪者数,35,山口県,594055
2021,6,都道府県,観光来訪者数,36,徳島県,296967
2021,6,都道府県,観光来訪者数,37,香川県,256943
2021,6,都道府県,観光来訪者数,38,愛媛県,482489
2021,6,都道府県,観光来訪者数,39,高知県,264003
2021,6,都道府県,観光来訪者数,40,福岡県,1391791
2021,6,都道府県,観光来訪者数,41,佐賀県,453711
2021,6,都道府県,観光来訪者数,42,長崎県,329904
2021,6,都道府県,観光来訪者数,43,熊本県,861488
2021,6,都道府県,観光来訪者数,44,大分県,647944
2021,6,都道府県,観光来訪者数,45,宮崎県,456701
2021,6,都道府県,観光来訪者数,46,鹿児島県,461580
2021,6,都道府県,観光来訪者数,47,沖縄県,298402
2021,7,都道府県,観光来訪者数,1,北海道,3975273
2021,7,都道府県,観光来訪者数,2,青森県,821674
2021,7,都道府県,観光来訪者数,3,岩手県,783347
2021,7,都道府県,観光来訪者数,4,宮城県,1435749
2021,7,都道府県,観光来訪者数,5,秋田県,768822
2021,7,都道府県,観光来訪者数,6,山形県,800792
2021,7,都道府県,観光来訪者数,7,福島県,1405360
2021,7,都道府県,観光来訪者数,8,茨城県,1593243
2021,7,都道府県,観光来訪者数,9,栃木県,2041073
2021,7,都道府県,観光来訪者数,10,群馬県,1335280
2021,7,都道府県,観光来訪者数,11,埼玉県,1756112
2021,7,都道府県,観光来訪者数,12,千葉県,2725860
2021,7,都道府県,観光来訪者数,13,東京都,6484264
2021,7,都道府県,観光来訪者数,14,神奈川県,2451114
2021,7,都道府県,観光来訪者数,15,新潟県,1562592
2021,7,都道府県,観光来訪者数,16,富山県,464535
2021,7,都道府県,観光来訪者数,17,石川県,674988
2021,7,都道府県,観光来訪者数,18,福井県,577625
2021,7,都道府県,観光来訪者数,19,山梨県,1227567
2021,7,都道府県,観光来訪者数,20,長野県,2162922
2021,7,都道府県,観光来訪者数,21,岐阜県,1618337
2021,7,都道府県,観光来訪者数,22,静岡県,3032034
2021,7,都道府県,観光来訪者数,23,愛知県,2666607
2021,7,都道府県,観光来訪者数,24,三重県,1328523
2021,7,都道府県,観光来訪者数,25,滋賀県,1075862
2021,7,都道府県,観光来訪者数,26,京都府,1751830
2021,7,都道府県,観光来訪者数,27,大阪府,2623446
2021,7,都道府県,観光来訪者数,28,兵庫県,3429372
2021,7,都道府県,観光来訪者数,29,奈良県,854497
2021,7,都道府県,観光来訪者数,30,和歌山県,735751
2021,7,都道府県,観光来訪者数,31,鳥取県,371016
2021,7,都道府県,観光来訪者数,32,島根県,557942
2021,7,都道府県,観光来訪者数,33,岡山県,1137903
2021,7,都道府県,観光来訪者数,34,広島県,1316868
2021,7,都道府県,観光来訪者数,35,山口県,830392
2021,7,都道府県,観光来訪者数,36,徳島県,433063
2021,7,都道府県,観光来訪者数,37,香川県,436992
2021,7,都道府県,観光来訪者数,38,愛媛県,705368
2021,7,都道府県,観光来訪者数,39,高知県,425517
2021,7,都道府県,観光来訪者数,40,福岡県,2117691
2021,7,都道府県,観光来訪者数,41,佐賀県,546075
2021,7,都道府県,観光来訪者数,42,長崎県,521872
2021,7,都道府県,観光来訪者数,43,熊本県,1224583
2021,7,都道府県,観光来訪者数,44,大分県,953581
2021,7,都道府県,観光来訪者数,45,宮崎県,679239
2021,7,都道府県,観光来訪者数,46,鹿児島県,705421
2021,7,都道府県,観光来訪者数,47,沖縄県,457037
2021,8,都道府県,観光来訪者数,1,北海道,3960749
2021,8,都道府県,観光来訪者数,2,青森県,857338
2021,8,都道府県,観光来訪者数,3,岩手県,706667
2021,8,都道府県,観光来訪者数,4,宮城県,1366048
2021,8,都道府県,観光来訪者数,5,秋田県,737220
2021,8,都道府県,観光来訪者数,6,山形県,777433
2021,8,都道府県,観光来訪者数,7,福島県,1299930
2021,8,都道府県,観光来訪者数,8,茨城県,1280022
2021,8,都道府県,観光来訪者数,9,栃木県,1977206
2021,8,都道府県,観光来訪者数,10,群馬県,1331216
2021,8,都道府県,観光来訪者数,11,埼玉県,1796680
2021,8,都道府県,観光来訪者数,12,千葉県,2658701
2021,8,都道府県,観光来訪者数,13,東京都,5368349
2021,8,都道府県,観光来訪者数,14,神奈川県,2321423
2021,8,都道府県,観光来訪者数,15,新潟県,1652857
2021,8,都道府県,観光来訪者数,16,富山県,410015
2021,8,都道府県,観光来訪者数,17,石川県,555774
2021,8,都道府県,観光来訪者数,18,福井県,566696
2021,8,都道府県,観光来訪者数,19,山梨県,1239597
2021,8,都道府県,観光来訪者数,20,長野県,2255953
2021,8,都道府県,観光来訪者数,21,岐阜県,1565668
2021,8,都道府県,観光来訪者数,22,静岡県,3076089
